Filename,Result,Runtime (s),Memory Usage (KB)
uf50-0497.cnf,1,0.009438753128051758,0.0
uf50-0498.cnf,1,0.01944708824157715,0.0
uf50-0499.cnf,1,0.04113602638244629,0.0
uf50-05.cnf,1,0.0053369998931884766,0.0
uf50-050.cnf,1,0.0318143367767334,0.0
uf50-0500.cnf,1,0.014865398406982422,0.0
uf50-0501.cnf,1,0.04866337776184082,0.0
uf50-0502.cnf,1,0.04355883598327637,0.0
uf50-0504.cnf,1,0.004224300384521484,0.0
uf50-0503.cnf,1,0.15730977058410645,0.0
uf50-0506.cnf,1,0.01355600357055664,0.0
uf50-0505.cnf,1,0.005691051483154297,0.0
uf50-0507.cnf,1,0.03803110122680664,0.0
uf50-0508.cnf,1,0.007309436798095703,0.0
uf50-0509.cnf,1,0.009889841079711914,0.0
uf50-051.cnf,1,0.02332472801208496,0.0
uf50-0510.cnf,1,0.10083818435668945,0.0
uf50-0511.cnf,1,0.011608123779296875,0.0
uf50-0512.cnf,1,0.1568150520324707,0.0
uf50-0513.cnf,1,0.02469468116760254,0.0
uf50-0514.cnf,1,0.019383907318115234,0.0
uf50-0515.cnf,1,0.14733338356018066,0.0
uf50-0516.cnf,1,0.008744955062866211,0.0
uf50-0517.cnf,1,0.04510855674743652,0.0
uf50-0518.cnf,1,0.0336761474609375,0.0
uf50-0519.cnf,1,0.026118755340576172,0.0
uf50-0520.cnf,1,0.1411576271057129,0.0
uf50-052.cnf,1,0.046072959899902344,0.0
uf50-0521.cnf,1,0.05672883987426758,0.0
uf50-0522.cnf,1,0.08428430557250977,0.0
uf50-0523.cnf,1,0.01946878433227539,0.0
uf50-0524.cnf,1,0.06979656219482422,0.0
uf50-0526.cnf,1,0.00461888313293457,0.0
uf50-0525.cnf,1,0.0955195426940918,0.0
uf50-0527.cnf,1,0.016849994659423828,0.0
uf50-0528.cnf,1,0.03006887435913086,0.0
uf50-0529.cnf,1,0.0029697418212890625,0.0
uf50-053.cnf,1,0.038094520568847656,0.0
uf50-0530.cnf,1,0.01591205596923828,0.0
uf50-0534.cnf,1,0.11514163017272949,0.0
uf50-0531.cnf,1,0.08357667922973633,0.0
uf50-0533.cnf,1,0.04941582679748535,0.0
uf50-0532.cnf,1,0.024680137634277344,0.0
uf50-0536.cnf,1,0.022559404373168945,0.0
uf50-0538.cnf,1,0.0344693660736084,0.0
uf50-0535.cnf,1,0.008491992950439453,0.0
uf50-0537.cnf,1,0.035901546478271484,0.0
uf50-0539.cnf,1,0.025458574295043945,0.0
uf50-054.cnf,1,0.04618072509765625,0.0
uf50-0540.cnf,1,0.030355215072631836,0.0
uf50-0541.cnf,1,0.07429695129394531,0.0
uf50-0542.cnf,1,0.012883424758911133,0.0
uf50-0544.cnf,1,0.006998538970947266,0.0
uf50-0545.cnf,1,0.05558347702026367,0.0
uf50-0543.cnf,1,0.006226301193237305,0.0
uf50-0547.cnf,1,0.015070438385009766,0.0
uf50-0546.cnf,1,0.01059103012084961,0.0
uf50-0548.cnf,1,0.008435487747192383,0.0
uf50-0549.cnf,1,0.012535810470581055,0.0
uf50-055.cnf,1,0.10259819030761719,0.0
uf50-0550.cnf,1,0.08574771881103516,0.0
uf50-0551.cnf,1,0.05452442169189453,0.0
uf50-0552.cnf,1,0.01386117935180664,0.0
uf50-0553.cnf,1,0.12003922462463379,0.0
uf50-0554.cnf,1,0.19072604179382324,0.0
uf50-0555.cnf,1,0.042166709899902344,0.0
uf50-0558.cnf,1,0.13579106330871582,0.0
uf50-0556.cnf,1,0.16410136222839355,0.0
uf50-0559.cnf,1,0.0040171146392822266,0.0
uf50-056.cnf,1,0.04284977912902832,0.0
uf50-0557.cnf,1,0.09995698928833008,0.0
uf50-0560.cnf,1,0.06495881080627441,0.0
uf50-0561.cnf,1,0.04515242576599121,0.0
uf50-0562.cnf,1,0.0995323657989502,0.0
uf50-0563.cnf,1,0.008954763412475586,0.0
uf50-0564.cnf,1,0.07914519309997559,0.0
